ID_Equipo;Nombre_Equipo;Repuesto_Principal;Codigo_Repuesto;Fabricante_Repuesto;Stock_Unidades;Unidad_Medida;Stock_Minimo_Critico;Estado_Stock;Costo_Unitario_USD;Tiempo_Reposicion;Proveedor;Contacto_Proveedor;Ubicacion_Almacen;Norma_Almacenamiento;Ultimo_Pedido;Observaciones
EQA-1001;Bomba Principal de Transferencia;Sello Mecanico Doble;SM-GR-3200;Grundfos;0;Unidad;2;CRITICO - Sin stock;850;30 dias;Grundfos Peru;+51-1-234-5678;Almacen-Cusco-A1;API 682;15/01/2026;Requiere importacion. Solicitar con 45 dias de anticipacion
EQA-1001;Bomba Principal de Transferencia;Rodamiento SKF 6312;RD-SKF-6312;SKF;3;Unidad;2;OK;120;7 dias;Representaciones Tecnicas SA;+51-1-345-6789;Almacen-Cusco-A1;ISO 281;10/03/2026;Stock disponible en Lima
EQA-1001;Bomba Principal de Transferencia;Empaquetadura Espiro-Metalica 3in;EMP-EM-3IN;Garlock;5;Unidad;3;OK;45;5 dias;Garlock Peru;+51-1-456-7890;Almacen-Cusco-A2;ASME B16.20;20/04/2026;
EQA-1002;Valvula de Control de Flujo;Kit de Sello Valvula CV-500;KIT-FS-CV500;Fisher Emerson;5;Kit;2;OK;320;7 dias;Emerson Peru;+51-1-567-8901;Almacen-Cusco-B1;API 598;05/05/2026;
EQA-1002;Valvula de Control de Flujo;Actuador Neumatico Repuesto;ACT-PN-500;Fisher Emerson;1;Unidad;1;ALERTA - Stock minimo;2800;15 dias;Emerson Peru;+51-1-567-8901;Almacen-Cusco-B1;ISA-75.01;10/02/2026;Revisar calibracion al instalar
EQA-1003;Compresor de Gas A;Aceite Sintetico Compresor 20W-40;ACE-SIN-20W40;Shell;80;Litros;40;OK;8;3 dias;Shell Peru;+51-1-678-9012;Almacen-Cusco-A2;API 614;15/05/2026;Cambio cada 500 horas de operacion
EQA-1003;Compresor de Gas A;Filtro de Gas de Entrada;FIL-GAS-JGC4;Ariel;2;Unidad;2;ALERTA - Stock minimo;450;15 dias;Ariel Peru;+51-1-789-0123;Almacen-Cusco-A1;ASME B31.8;01/04/2026;Cambio cada 1000 horas o segun analisis
EQA-1003;Compresor de Gas A;Valvula de Succion de Repuesto;VAL-SUC-JGC4;Ariel;1;Unidad;2;CRITICO - Por debajo del minimo;1200;15 dias;Ariel Peru;+51-1-789-0123;Almacen-Cusco-A1;API 618;01/03/2026;Critico para operacion continua
EQA-1004;Generador Diesel de Emergencia;Bateria 12V 200Ah;BAT-12V-200;Bosch;4;Unidad;2;OK;180;2 dias;Distribuidora Electrica SAC;+51-84-234-567;Almacen-Cusco-C1;IEC 60896;10/05/2026;
EQA-1004;Generador Diesel de Emergencia;Filtro de Combustible;FIL-COM-3512;Caterpillar;10;Unidad;5;OK;35;2 dias;Ferreyros SA;+51-84-345-678;Almacen-Cusco-C1;DS 018-2004-EM;15/05/2026;Cambio cada 250 horas
